Namespace(action=4, model='CNN', seed=1)
{'model_name': 'CNN', 'device': device(type='cuda', index=0), 'log_dir': 'log\\CNN', 'ckpt_dir': 'checkpoint\\CNN', 'attack': 'lf', 'defence': 'krum', 'client_epochs': 10, 'server_epochs': 100, 'batch_size': 100, 'client_lr': 0.15, 'server_lr': 0.15, 'server_rate': 2000, 'load_ckpt': 0, 'workers': 20, 'byzantine_workers': 8, 'attack_strength': 0.1, 'k': 1, 'b': 4, 'test_frequency': 1}
======================Start Train Model [Tue May  7 02:58:03 2024]======================
Epoch: 1 | Epoch Time: 0m 37s
Train Loss: 2.298299730529785 | Train Acc: 10.636000335216522%
Test Loss: 2.298122662353516 | Test Acc: 10.779999941587448%
Epoch: 2 | Epoch Time: 0m 38s
Train Loss: 2.2837806832885743 | Train Acc: 18.625999987125397%
Test Loss: 2.2833498611450196 | Test Acc: 18.930000066757202%
Epoch: 3 | Epoch Time: 0m 38s
Train Loss: 2.259774414672852 | Train Acc: 22.34400063753128%
Test Loss: 2.2588472106933595 | Test Acc: 22.750000655651093%
Epoch: 4 | Epoch Time: 0m 38s
Train Loss: 2.224457250061035 | Train Acc: 24.527999758720398%
Test Loss: 2.223013430786133 | Test Acc: 24.580000340938568%
Epoch: 5 | Epoch Time: 0m 37s
Train Loss: 2.1819781048583984 | Train Acc: 26.952001452445984%
Test Loss: 2.179974221801758 | Test Acc: 27.180001139640808%
Epoch: 6 | Epoch Time: 0m 37s
Train Loss: 2.1301260610961914 | Train Acc: 29.067999124526978%
Test Loss: 2.1277098571777344 | Test Acc: 29.44999933242798%
Epoch: 7 | Epoch Time: 0m 39s
Train Loss: 2.08333399597168 | Train Acc: 30.274000763893127%
Test Loss: 2.079996078491211 | Test Acc: 30.61000108718872%
Epoch: 8 | Epoch Time: 0m 38s
Train Loss: 2.035472631225586 | Train Acc: 31.02400004863739%
Test Loss: 2.0315614883422852 | Test Acc: 31.33000135421753%
Epoch: 9 | Epoch Time: 0m 38s
Train Loss: 1.9952443032836915 | Train Acc: 30.987998843193054%
Test Loss: 1.9913492385864258 | Test Acc: 30.730000138282776%
Epoch: 10 | Epoch Time: 0m 38s
Train Loss: 1.9417153295898437 | Train Acc: 32.20199942588806%
Test Loss: 1.9372167861938476 | Test Acc: 32.40000009536743%
Epoch: 11 | Epoch Time: 0m 37s
Train Loss: 1.8924415286254883 | Train Acc: 33.39000046253204%
Test Loss: 1.8875727081298828 | Test Acc: 33.5099995136261%
Epoch: 12 | Epoch Time: 0m 38s
Train Loss: 1.8597080422973633 | Train Acc: 34.39599871635437%
Test Loss: 1.8542872009277345 | Test Acc: 34.86999869346619%
Epoch: 13 | Epoch Time: 0m 38s
Train Loss: 1.8166134887695313 | Train Acc: 35.565999150276184%
Test Loss: 1.8109286682128907 | Test Acc: 35.60999929904938%
Epoch: 14 | Epoch Time: 0m 38s
Train Loss: 1.7820331079101563 | Train Acc: 36.37399971485138%
Test Loss: 1.775896208190918 | Test Acc: 36.28000020980835%
Epoch: 15 | Epoch Time: 0m 37s
Train Loss: 1.7646359729003906 | Train Acc: 36.50200068950653%
Test Loss: 1.7571984283447266 | Test Acc: 36.75000071525574%
Epoch: 16 | Epoch Time: 0m 37s
Train Loss: 1.7351392663574219 | Train Acc: 37.23199963569641%
Test Loss: 1.7272693176269531 | Test Acc: 37.450000643730164%
Epoch: 17 | Epoch Time: 0m 38s
Train Loss: 1.713487866821289 | Train Acc: 37.74800002574921%
Test Loss: 1.7050968231201171 | Test Acc: 37.81000077724457%
Epoch: 18 | Epoch Time: 0m 38s
Train Loss: 1.6957219757080078 | Train Acc: 38.999998569488525%
Test Loss: 1.6869697021484376 | Test Acc: 39.10999894142151%
Epoch: 19 | Epoch Time: 0m 38s
Train Loss: 1.6723991177368165 | Train Acc: 39.79400098323822%
Test Loss: 1.6647134170532227 | Test Acc: 39.879998564720154%
Epoch: 20 | Epoch Time: 0m 38s
Train Loss: 1.6534973236083985 | Train Acc: 40.39599895477295%
Test Loss: 1.645791098022461 | Test Acc: 40.50000011920929%
Epoch: 21 | Epoch Time: 0m 39s
Train Loss: 1.6434973864746094 | Train Acc: 40.5460000038147%
Test Loss: 1.6357939071655274 | Test Acc: 40.61000049114227%
Epoch: 22 | Epoch Time: 0m 38s
Train Loss: 1.6271111447143554 | Train Acc: 41.133999824523926%
Test Loss: 1.6206022888183593 | Test Acc: 41.589999198913574%
Epoch: 23 | Epoch Time: 0m 38s
Train Loss: 1.6102561068725585 | Train Acc: 41.863998770713806%
Test Loss: 1.6031780014038086 | Test Acc: 42.28000044822693%
Epoch: 24 | Epoch Time: 0m 38s
Train Loss: 1.5885543161010742 | Train Acc: 42.79800057411194%
Test Loss: 1.581655776977539 | Test Acc: 42.8600013256073%
Epoch: 25 | Epoch Time: 0m 38s
Train Loss: 1.5840767776489257 | Train Acc: 43.004000186920166%
Test Loss: 1.5767690704345703 | Test Acc: 43.16999912261963%
Epoch: 26 | Epoch Time: 0m 37s
Train Loss: 1.5797711935424805 | Train Acc: 43.09400022029877%
Test Loss: 1.5729002548217774 | Test Acc: 43.27999949455261%
Epoch: 27 | Epoch Time: 0m 39s
Train Loss: 1.5778459664916993 | Train Acc: 43.27400028705597%
Test Loss: 1.570654510498047 | Test Acc: 43.52000057697296%
Epoch: 28 | Epoch Time: 0m 38s
Train Loss: 1.578747699279785 | Train Acc: 43.474000692367554%
Test Loss: 1.5718391372680665 | Test Acc: 43.799999356269836%
Epoch: 29 | Epoch Time: 0m 38s
Train Loss: 1.576358855895996 | Train Acc: 43.65000128746033%
Test Loss: 1.569098245239258 | Test Acc: 43.83000135421753%
Epoch: 30 | Epoch Time: 0m 37s
Train Loss: 1.5738303884887694 | Train Acc: 43.873998522758484%
Test Loss: 1.566085154724121 | Test Acc: 43.97999942302704%
Epoch: 31 | Epoch Time: 0m 37s
Train Loss: 1.5704499111938477 | Train Acc: 43.907999992370605%
Test Loss: 1.5626352828979493 | Test Acc: 43.88999938964844%
Epoch: 32 | Epoch Time: 0m 38s
Train Loss: 1.5825183520507813 | Train Acc: 43.69800090789795%
Test Loss: 1.5745272537231445 | Test Acc: 43.36999952793121%
Epoch: 33 | Epoch Time: 0m 38s
Train Loss: 1.603323743133545 | Train Acc: 43.38200092315674%
Test Loss: 1.596019728088379 | Test Acc: 43.23999881744385%
